activation_composition,architecture,mean_test_accuracy,std_test_accuracy,best_test_accuracy,n_trials,epochs,batch_size
"(('leaky_relu', 'leaky_relu', 'relu', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'relu', 'relu', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.88476,0.006297491564107075,0.8904,5,10,128
"(('leaky_relu', 'relu', 'relu', 'tanh', 'tanh', 'tanh', 'tanh'), ('relu', 'relu', 'relu', 'relu', 'tanh'))","[7, 5]",0.89272,0.005177026173393364,0.9004,5,10,128
"(('leaky_relu', 'leaky_relu', 'softplus', 'tanh', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'relu', 'softplus', 'tanh', 'tanh'))","[7, 5]",0.8961599999999998,0.00650679644679315,0.9028,5,10,128
"(('relu', 'relu', 'relu', 'relu', 'softplus'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'softplus', 'tanh'))","[5, 7]",0.87904,0.016534884335851867,0.898,5,10,128
"(('leaky_relu', 'leaky_relu', 'relu', 'relu', 'relu', 'tanh'), ('leaky_relu', 'softplus', 'softplus', 'softplus', 'softplus', 'softplus'))","[6, 6]",0.8905800000000001,0.01014877332489008,0.9018,5,10,128
"(('softplus', 'softplus', 'softplus', 'softplus', 'softplus', 'softplus', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'tanh', 'tanh'))","[7, 5]",0.8854799999999999,0.003244318110173548,0.8894,5,10,128
"(('leaky_relu', 'relu', 'softplus', 'tanh', 'tanh', 'tanh'), ('softplus', 'softplus', 'softplus', 'softplus', 'tanh', 'tanh'))","[6, 6]",0.8903399999999999,0.007358423744253915,0.9027,5,10,128
"(('softplus', 'softplus', 'softplus', 'softplus', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus'))","[7, 5]",0.8958999999999999,0.007909740830141022,0.9049,5,10,128
"(('relu', 'softplus', 'softplus', 'softplus', 'tanh', 'tanh'), ('leaky_relu', 'softplus', 'softplus', 'tanh', 'tanh', 'tanh'))","[6, 6]",0.8918799999999999,0.0086131062921573,0.9034,5,10,128
"(('leaky_relu', 'leaky_relu', 'relu', 'relu', 'softplus', 'softplus', 'softplus'), ('leaky_relu', 'leaky_relu', 'softplus', 'softplus', 'softplus'))","[7, 5]",0.8940999999999999,0.004327123756030098,0.9,5,10,128
